,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ZINC,pdbqt,Lowest_E,Mean_E,Set,Mwt,LogP,Rotatable bonds,H-donors,H-acceptors,PSA,Net charge,Num chirals,chirals,SMILES,QED_mean
9873,362911,362911,3266,ZINC000010541254,EJAARN.xaa_ligand_14338.pdbqt,-5.87,-5.87,1,343.789,4.534,3,1,3,46,0,0,[],Cc1nn(-c2ccccc2)c(C)c1NC(=O)c1ccc(Cl)cc1F,0.7255851039238719
9874,341252,341252,7295,ZINC000009792913,FJAARN.xaa_ligand_35053.pdbqt,-5.87,-5.87,1,368.477,4.558,5,1,3,50,0,2,"[(3, 'S'), (9, 'S')]",CC(C)[C@H](NC(=O)N(C)[C@@H](C)c1ccccc1)c1ccc2c(c1)OCCO2,0.804733894266223
9875,99771,99771,5587,ZINC000096342868,EJAARN.xaa_ligand_11504.pdbqt,-5.87,-5.87,1,340.448,4.567,4,1,4,55,0,0,[],Cc1cc(C(=O)NCc2sc(-c3ccccc3C)nc2C)c(C)o1,0.7235600161829583
9876,285172,285172,2581,ZINC000031245293,FJABRN.xaa_ligand_1658.pdbqt,-5.87,-5.87,1,369.461,4.597,8,1,4,56,0,0,[],COc1ccc(CCC(=O)Nc2ccc(OC3CCCC3)cc2)cc1OC,0.7063132363610999
9877,461686,461686,7856,ZINC000011663426,HJAAMN.xaa_ligand_0967.pdbqt,-5.87,-5.87,1,403.517,4.553,6,3,2,53,1,1,"[(2, 'S')]",OC[C@]1(Cc2ccc(F)cc2F)CCCN(Cc2c[nH]nc2C2CCCCC2)C1,0.7111437141272784
9878,120647,120647,772,ZINC000039892948,EJAARN.xaa_ligand_16399.pdbqt,-5.87,-5.87,1,327.811,4.562,4,1,2,42,0,0,[],Cc1cc2occ(CC(=O)NCc3ccccc3)c2c(C)c1Cl,0.7292186344828289
9879,12956,12956,4400,ZINC000019766194,IJABRN.xaa_ligand_04718.pdbqt,-5.87,-5.87,1,426.948,4.587,4,1,4,75,0,1,"[(4, 'S')]",Cc1nc([C@H]2CCN(C(=O)C3CCCCC3)C2)ncc1C(=O)Nc1ccc(Cl)cc1,0.7412331851137972
9880,22432,22432,5312,ZINC000001750909,DJAARN.xaa_ligand_13787.pdbqt,-5.87,-5.87,1,308.834,4.516,6,1,3,41,0,0,[],CCCCC(=O)Nc1ncc(Cc2cccc(Cl)c2)s1,0.8151229692871508
9881,34369,34369,125,ZINC000000036054,DJAARN.xaa_ligand_02877.pdbqt,-5.87,-5.87,1,322.795,4.506,4,1,2,41,0,0,[],O=C(Nc1ccc(Cl)cn1)C(c1ccccc1)c1ccccc1,0.7342544275748173
9882,349730,349730,7218,ZINC000006260775,FJAARN.xaa_ligand_43718.pdbqt,-5.87,-5.87,1,362.763,4.512,4,1,3,55,0,0,[],Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NCc1ccccc1F,0.7100157725436254
